County,Year,NDWI
ALEXANDER,2006,0.02607734
CLARK,2006,0.007531625
ROCK ISLAND,2006,0.018404631
HARDIN,2006,0.023301819
CALHOUN,2006,0.02579006
JACKSON,2006,0.019279187
BOND,2006,0.004889391
CRAWFORD,2006,0.007661892
FRANKLIN,2006,0.015466641
PIATT,2006,-0.006977026
ST CLAIR,2006,0.008177941
HAMILTON,2006,0.006278207
CUMBERLAND,2006,0.006357561
ADAMS,2006,0.007046478
DE WITT,2006,-0.004489447
JO DAVIESS,2006,0.023723388
VERMILION,2006,0.002046882
EFFINGHAM,2006,0.009469257
COOK,2006,0.007065944
PIKE,2006,0.005382141
MARION,2006,0.008123845
KNOX,2006,0.011183894
MCHENRY,2006,0.022457935
HENDERSON,2006,0.004606805
HENRY,2006,0.003694734
GREENE,2006,0.005953208
SALINE,2006,0.011720548
WHITESIDE,2006,0.009906618
DE KALB,2006,0.015568703
WHITE,2006,0.003859955
LIVINGSTON,2006,-0.001202312
WOODFORD,2006,0.013961073
MERCER,2006,0.01001514
MACON,2006,0.002049244
KENDALL,2006,0.014285077
CLINTON,2006,0.007611373
GRUNDY,2006,0.005799721
PERRY,2006,0.007247872
JASPER,2006,0.003106465
EDGAR,2006,0.001037142
COLES,2006,-0.000681708
GALLATIN,2006,0.006069798
DOUGLAS,2006,-0.007633611
RANDOLPH,2006,0.008472533
CHRISTIAN,2006,0.003739781
WILL,2006,0.012281285
MACOUPIN,2006,0.003145293
JEFFERSON,2006,0.011734349
POPE,2006,0.023527846
STARK,2006,0.006118058
SCHUYLER,2006,0.007488425
STEPHENSON,2006,0.024083782
LOGAN,2006,-0.003119163
LEE,2006,0.013573232
FAYETTE,2006,0.007295182
LA SALLE,2006,0.010685959
PEORIA,2006,0.012569077
RICHLAND,2006,0.004595432
WILLIAMSON,2006,0.021692143
IROQUOIS,2006,-0.012304073
KANE,2006,0.020127716
SHELBY,2006,0.001316786
MONROE,2006,0.009604004
CARROLL,2006,0.019581954
CLAY,2006,0.003776128
MASSAC,2006,0.016005049
JOHNSON,2006,0.023448206
BROWN,2006,0.008220031
KANKAKEE,2006,0.001599636
