County,Year,GPP
HENDERSON,2003,338.582358
HENDERSON,2004,372.6490247
HENDERSON,2005,414.4462824
HENDERSON,2006,307.6288779
HENDERSON,2007,317.3157506
HENDERSON,2008,296.2359955
HENDERSON,2009,297.761243
HENDERSON,2010,430.9749751
HENDERSON,2011,337.2172783
HENDERSON,2012,397.821723
HENDERSON,2013,353.8486315
HENDERSON,2014,370.8775491
HENDERSON,2015,450.1703109
HENDERSON,2016,459.8599397
HENDERSON,2017,457.0736524
HENDERSON,2018,313.5914938
HENDERSON,2019,475.0113442
HENDERSON,2020,460.3792426
HENRY,2000,306.2811617
HENRY,2001,299.2072976
HENRY,2002,290.1032471
HENRY,2003,251.6744101
HENRY,2004,330.9424639
HENRY,2005,323.831771
HENRY,2006,271.1582596
HENRY,2007,281.9236047
HENRY,2008,255.6798521
HENRY,2009,246.2960898
HENRY,2010,330.4878983
HENRY,2011,265.5448832
HENRY,2012,354.9995214
HENRY,2013,237.2008012
HENRY,2014,291.977173
HENRY,2015,416.593881
HENRY,2016,366.164703
HENRY,2017,454.7537842
HENRY,2018,252.2147083
HENRY,2019,406.0600611
HENRY,2020,377.4144249
GREENE,2000,385.0540319
GREENE,2001,360.9582653
GREENE,2002,453.4319291
GREENE,2003,428.1677693
GREENE,2004,390.0647132
GREENE,2005,483.1673369
GREENE,2006,342.9670795
GREENE,2007,386.1428643
GREENE,2008,479.19502
GREENE,2009,436.7668542
GREENE,2010,428.0116703
GREENE,2011,424.1940839
GREENE,2012,492.0271345
GREENE,2013,521.7506249
GREENE,2014,504.8625946
GREENE,2015,494.7836729
GREENE,2016,528.9443958
GREENE,2017,515.0406222
GREENE,2018,406.3344809
GREENE,2019,543.4685718
GREENE,2020,530.5568116
SALINE,2000,540.2169017
SALINE,2001,481.2740177
SALINE,2002,518.2948625
SALINE,2003,607.830963
SALINE,2004,457.2023922
SALINE,2005,691.9609499
SALINE,2006,504.976025
SALINE,2007,487.9912472
SALINE,2008,626.7535351
SALINE,2009,558.4293957
SALINE,2010,579.6628997
SALINE,2011,608.30641
SALINE,2012,698.0724998
SALINE,2013,564.1999837
SALINE,2014,513.2395988
SALINE,2015,594.1010243
SALINE,2016,694.6262022
SALINE,2017,581.2309658
SALINE,2018,443.5159518
SALINE,2019,604.2917041
SALINE,2020,596.3199456
WHITESIDE,2000,276.7274473
WHITESIDE,2001,298.7853757
WHITESIDE,2002,281.0892554
WHITESIDE,2003,238.1176317
WHITESIDE,2004,332.0067189
WHITESIDE,2005,339.254769
WHITESIDE,2006,269.3397469
WHITESIDE,2007,278.6035228
