County,Year,SSM_0,SSM_10,SSM_40,SSM_100
FORD,2020,0.302642871,0.324756231,0.264573067,0.367406113
SCOTT,2000,0.265039315,0.273254447,0.166598793,0.334961184
SCOTT,2001,0.296160487,0.295425296,0.189018033,0.329967263
SCOTT,2002,0.282171461,0.308187446,0.230376791,0.358268405
SCOTT,2003,0.292822111,0.297833749,0.171601743,0.356601708
SCOTT,2004,0.28174465,0.307371337,0.240502227,0.349240159
SCOTT,2005,0.282768377,0.295143035,0.18578039,0.36614076
SCOTT,2006,0.275958931,0.283569781,0.196346658,0.358505177
SCOTT,2007,0.270911122,0.265206363,0.17676283,0.347530538
SCOTT,2008,0.32206583,0.331893682,0.254804913,0.346072973
SCOTT,2009,0.334167917,0.356453616,0.28154747,0.342635083
SCOTT,2010,0.340588545,0.35624101,0.348924847,0.384349573
SCOTT,2011,0.332535888,0.33213882,0.214661744,0.358673576
SCOTT,2012,0.279779192,0.300279291,0.235876158,0.352581905
SCOTT,2013,0.309714054,0.32098398,0.253010093,0.369932408
SCOTT,2014,0.298187584,0.312190077,0.210410337,0.368403139
SCOTT,2015,0.315127928,0.324306406,0.284276185,0.367892962
SCOTT,2016,0.292156392,0.280486193,0.22036078,0.36087726
SCOTT,2017,0.256180331,0.266453462,0.162949356,0.351376605
SCOTT,2018,0.290526701,0.283012784,0.180375309,0.346320837
SCOTT,2019,0.327666598,0.339402202,0.299987797,0.361297111
SCOTT,2020,0.302308728,0.305083234,0.271911286,0.36595623
ALEXANDER,2000,0.309883264,0.308132553,0.271715812,0.313865728
ALEXANDER,2001,0.284014875,0.290279515,0.258094411,0.317980422
ALEXANDER,2002,0.345477983,0.360064523,0.348333741,0.391288217
ALEXANDER,2003,0.326008026,0.34942357,0.337235232,0.37633245
ALEXANDER,2004,0.322299211,0.339532951,0.314749329,0.335717328
ALEXANDER,2005,0.302545571,0.320524094,0.262437119,0.350933754
ALEXANDER,2006,0.335256816,0.341980616,0.315053888,0.336073144
ALEXANDER,2007,0.314528566,0.332243455,0.302034641,0.355579116
ALEXANDER,2008,0.347449041,0.347132964,0.316654902,0.364292034
ALEXANDER,2009,0.334974693,0.346606032,0.324740026,0.348818575
ALEXANDER,2010,0.325597763,0.335342681,0.288840549,0.361115142
ALEXANDER,2011,0.342154986,0.365946186,0.298941385,0.349444606
ALEXANDER,2012,0.29624794,0.304183754,0.240511817,0.33968999
ALEXANDER,2013,0.352030838,0.357321201,0.305184996,0.335882305
ALEXANDER,2014,0.325541034,0.33888385,0.329872831,0.357830552
ALEXANDER,2015,0.337450563,0.368106163,0.353223252,0.358520152
ALEXANDER,2016,0.353660676,0.351784465,0.338969818,0.376403429
ALEXANDER,2017,0.315192547,0.328902599,0.30765259,0.358742526
ALEXANDER,2018,0.34429081,0.349225543,0.298419441,0.342755184
ALEXANDER,2019,0.384693027,0.388147504,0.386757781,0.387677297
ALEXANDER,2020,0.332802711,0.345169804,0.338561145,0.382788079
CLARK,2000,0.294013627,0.304722288,0.234122506,0.356386994
CLARK,2001,0.293161271,0.309121522,0.281926862,0.344449252
CLARK,2002,0.300470316,0.33786552,0.316640502,0.383954435
CLARK,2003,0.294003379,0.298681888,0.220780115,0.375572584
CLARK,2004,0.314924896,0.323929094,0.296930785,0.35400669
CLARK,2005,0.297064198,0.317129077,0.229013587,0.370821505
CLARK,2006,0.318579197,0.334498927,0.271324172,0.3579681
CLARK,2007,0.293905676,0.312597912,0.238169758,0.3756531
CLARK,2008,0.363461275,0.359952167,0.311659032,0.37500022
CLARK,2009,0.32972128,0.37857242,0.312759132,0.376836797
CLARK,2010,0.34483462,0.35520221,0.331189832,0.365878651
CLARK,2011,0.353866854,0.362445761,0.263797282,0.375344022
CLARK,2012,0.297717624,0.30435616,0.212068776,0.358624704
CLARK,2013,0.350460052,0.362992144,0.265999202,0.375509484
CLARK,2014,0.314485395,0.337359334,0.252931486,0.358127018
CLARK,2015,0.333540719,0.340864703,0.308860169,0.353445365
CLARK,2016,0.319206438,0.32073692,0.275532362,0.367980486
CLARK,2017,0.29375855,0.314808646,0.256362209,0.371050165
CLARK,2018,0.326505152,0.330251859,0.272813647,0.369013126
CLARK,2019,0.362058041,0.375910928,0.362577816,0.381915814
CLARK,2020,0.31092983,0.321775043,0.299058902,0.38001108
ROCK ISLAND,2000,0.28628993,0.302140468,0.190936953,0.344911439
ROCK ISLAND,2001,0.317925161,0.31626921,0.209946527,0.341754136
ROCK ISLAND,2002,0.285224295,0.308490931,0.235295091,0.338925546
ROCK ISLAND,2003,0.275992467,0.29213251,0.171864745,0.338282402
ROCK ISLAND,2004,0.281820502,0.321545498,0.219261112,0.335527197
ROCK ISLAND,2005,0.280223683,0.240510135,0.191922165,0.333243191
ROCK ISLAND,2006,0.280608538,0.281104285,0.179029622,0.331713304
ROCK ISLAND,2007,0.291911056,0.28569454,0.223275451,0.330359063
ROCK ISLAND,2008,0.332962713,0.334429096,0.248024477,0.329184221
ROCK ISLAND,2009,0.34341066,0.361965087,0.313358704,0.351234165
ROCK ISLAND,2010,0.339752279,0.354653694,0.340087259,0.371042112
ROCK ISLAND,2011,0.321555208,0.337537392,0.251067889,0.358981471
ROCK ISLAND,2012,0.286009369,0.294965688,0.195016898,0.354302058
ROCK ISLAND,2013,0.318271248,0.333304775,0.184777699,0.360339901
ROCK ISLAND,2014,0.310360073,0.313702323,0.190834746,0.360307361
ROCK ISLAND,2015,0.30688058,0.317089472,0.221860806,0.359068605
ROCK ISLAND,2016,0.317218329,0.309877694,0.26535974,0.359532387
ROCK ISLAND,2017,0.294195865,0.304774551,0.233258555,0.353805563
ROCK ISLAND,2018,0.313574999,0.3174726,0.244592911,0.352130358
ROCK ISLAND,2019,0.345576129,0.365464185,0.339211343,0.38922225
ROCK ISLAND,2020,0.319378023,0.333208702,0.281725911,0.369561479
HARDIN,2000,0.316080255,0.302449511,0.234669541,0.324975669
HARDIN,2001,0.277130084,0.286418599,0.230935352,0.319742052
HARDIN,2002,0.347831215,0.347541709,0.328989368,0.387054216
HARDIN,2003,0.321070587,0.350470466,0.329999895,0.379875185
HARDIN,2004,0.320718142,0.32888878,0.293771741,0.340478397
HARDIN,2005,0.304568109,0.312438121,0.23384139,0.352470675
HARDIN,2006,0.340631656,0.340289693,0.299285815,0.344832909
HARDIN,2007,0.319986829,0.326920332,0.283269858,0.361572196
HARDIN,2008,0.353765305,0.350902073,0.308435284,0.369722353
HARDIN,2009,0.34354561,0.346541712,0.326084434,0.355527784
HARDIN,2010,0.328752726,0.336005679,0.264791909,0.361044052
HARDIN,2011,0.354593525,0.371261133,0.311122529,0.362250811
HARDIN,2012,0.292492235,0.29065409,0.211117841,0.343425295
HARDIN,2013,0.354771496,0.350529775,0.293723579,0.350654418
